Depth,SiteName,Big Dig Site Code,Latitude,Longitude,Elevation,SO,FT,CP,P,Depth,Interval,Car %?,Nit,Phos,BicarP,NaOHP,pH,water,bio.nmol,bio,bio.C,AG,AG.bio,AG.C,BG,BG.bio,BG.C,BX,BX.bio,BX.C,CBH,CBH.bio,CBH.C,NAG,NAG.bio,NAG.C,AP,AP.bio,AP.C,Cenz,Cenz.bio,logNCEnz,logCPEnz,logNPEnz,EnzTotal,EnzTotal.bio,Act,AMF,Ana,Euk,Fung,GramN,GramP,Gen,Act.nor,AMF.nor,Ana.nor,Euk.nor,Fung.nor,GramN.nor,GramP.nor,Bact.total,Fung.total
80,TABDYS-2-MS ridge,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,ridge,P4,80,30,0.35,0.03,99.05,1.7025,96.8925,4.6,0.13,19.72,4.17,11.91,1.62,0.39,4.63,9.48,2.28,27.09,2.06,0.49,5.89,1.08,0.26,3.09,19.56,4.69,55.89,382.04,91.7,1091.54,14.24,3.42,1.11,0.458,0.508,415.84,21.09,0.662,0.085,0.066,0.023,0.068,1.046,1.174,1.042,0.211,0.029,0.023,0.007,0.021,0.313,0.397,2.948,0.153
110,TABDYS-2-MS ridge,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,ridge,P4,110,30,0.09,0,206.74,5.4,200.2575,4.7,0.07,0.93,0.2,2.21,2.12,10.56,23.47,2.68,13.35,29.67,2.17,10.81,24.02,1.61,8.02,17.82,4.08,20.33,45.17,356.74,1777.62,3949.15,8.57,42.7,0.72,0.384,0.276,369.39,395.36,0,0,0,0.005,0,0.061,0.078,0.056,0,0,0,0.03,0,0.409,0.561,0.14,0
140,TABDYS-2-MS ridge,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,ridge,P4,140,30,0.05,0,121.39,4.398,113.724,5.25,0.09,5.39,1.15,22.7,3.44,2.99,67.89,9.47,8.23,186.91,6.33,5.5,124.93,3.38,2.94,66.71,3.98,3.46,78.55,71.04,61.73,1402.11,22.62,19.65,0.508,0.739,0.375,97.64,18.11,0.133,0.025,0,0.006,0.033,0.441,0.238,0.276,0.155,0.03,0,0.007,0.034,0.48,0.293,0.812,0.057
0,TABDYS-5-MS slope,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,slope,P5,0,0,3.43,0.28,92.68,10.44,77.79,6.6,0.53,282.97,60.88,17.75,19.72,0.32,5.75,380.72,6.25,111,193.51,3.18,56.42,42.89,0.7,12.5,236.24,3.88,68.87,2931.44,48.15,854.65,636.84,10.46,0.847,0.809,0.685,3804.52,13.45,7.656,1.71,0.144,0.932,0.64,22.908,13.62,13.274,0.163,0.038,0.003,0.017,0.013,0.457,0.309,44.327,2.349
20,TABDYS-5-MS slope,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,slope,P5,20,20,1.34,0.12,70.17,6.45,62.43,6.8,0.29,114.74,24.53,18.31,11.68,0.48,8.72,168.23,6.86,125.54,92.57,3.77,69.08,21.38,0.87,15.96,65.67,2.68,49.01,2033.22,82.88,1517.33,293.87,11.98,0.739,0.746,0.551,2392.76,20.85,3.812,0.642,0.556,0.393,0.211,7.122,6.492,5.303,0.199,0.035,0.027,0.018,0.01,0.351,0.359,17.982,0.853
50,TABDYS-5-MS slope,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,slope,P5,50,30,0.99,0.09,37.49,2.16,34.8975,7.2,0.23,48.06,10.2,10.3,7.67,0.75,7.75,69.45,6.81,70.15,49.1,4.81,49.6,9.51,0.93,9.61,20.45,2,20.66,341.38,33.47,344.83,135.72,13.31,0.623,0.843,0.525,497.55,10.35,1.945,0.257,0.042,0.126,0.045,2.505,3.294,1.987,0.236,0.033,0.005,0.013,0.005,0.283,0.424,7.785,0.302
80,TABDYS-5-MS slope,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,slope,P5,80,30,0.3,0.03,55.31,0.975,54.135,7.3,0.1,16.68,3.54,11.8,5.96,1.68,19.87,21.67,6.11,72.23,21.32,6.02,71.07,4.98,1.41,16.6,7.24,2.04,24.13,155.95,44,519.83,53.94,15.22,0.526,0.792,0.417,217.13,13.01,0.66,0.078,0,0.024,0.027,0.982,1.05,0.724,0.234,0.029,0,0.008,0.009,0.327,0.394,2.692,0.104
110,TABDYS-5-MS slope,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,slope,P5,110,30,0.04,0.003,11.18,1.0875,9.8775,7.2,0.11,2.01,0.41,10.6,5.25,12.75,135.78,5.01,12.16,129.57,5.15,12.5,133.19,3.36,8.16,86.9,4.22,10.25,109.14,67.84,164.7,1754.48,18.76,45.55,0.554,0.705,0.39,90.82,45.24,0.091,0,0,0.007,0,0.025,0.188,0.101,0.283,0,0,0.02,0,0.072,0.618,0.303,0
140,TABDYS-5-MS slope,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,slope,P5,140,30,0.04,0,5.74,1.638,3.384,7.3,0.1,23.97,4.96,112.73,0.26,0.05,5.91,1.49,0.3,33.86,0.21,0.04,4.77,0.08,0.02,1.82,2.7,0.54,61.36,117.71,23.74,2675.23,2.04,0.41,1.177,0.233,0.274,122.45,5.11,0.43,0,0,0,0,0.382,2.625,1.521,0.121,0,0,0,0,0.102,0.777,3.438,0
0,TABDYS-4-MS valley,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,valley,P6,0,0,10.99,0.82,75.23,8.31,62.67,5.8,1.42,882.02,188.4,17.14,47.85,0.25,4.35,2043.68,10.85,185.96,357.78,1.9,32.56,504.99,2.68,45.95,2008.39,10.66,182.75,3228.2,17.13,293.74,2954.3,15.68,0.952,0.989,0.941,8190.89,9.29,17.861,7.533,0.26,2.98,2.726,78.017,37.752,41.275,0.123,0.054,0.002,0.017,0.017,0.509,0.277,133.889,10.259
